632.475;243.482;Wangen bei Olten
634.689;244.290;Olten Hammer
635.441;244.670;Olten
592.344;218.635;Dotzigen
594.887;220.799;Büren an der Aare
604.749;226.594;Lüsslingen, Käserei
604.207;226.280;Nennigkofen, Rössli
611.534;259.472;Reinach BL Süd
612.316;261.744;Reinach BL Surbaum
613.014;264.603;Münchenstein Ruchfeld
611.993;266.415;Basel Denkmal
611.563;267.000;Basel Bankverein
605.276;233.439;Weissenstein
611.508;269.635;Basel Wiesenplatz
611.932;257.656;Aesch BL Dorf
615.713;263.986;Muttenz Dorf
601.362;235.740;Crémines-Zoo
605.634;229.670;Langendorf
602.338;229.739;Lommiswil
602.755;231.110;Im Holz
604.175;231.675;Oberdorf SO
602.010;234.951;Gänsbrunnen
600.887;237.192;Corcelles BE
599.749;237.187;Crémines
598.765;236.980;Grandval
608.085;229.046;Solothurn Sternen
608.420;229.470;St. Katharinen
608.879;229.977;Feldbrunnen
609.690;230.837;Bei den Weihern
607.823;228.789;Solothurn Baseltor
610.151;231.132;Riedholz
611.967;232.039;Flumenthal
613.267;232.847;Attiswil
615.705;233.573;Wiedlisbach
616.829;234.328;Oberbipp
618.145;234.775;Buchli
619.370;239.209;Klus
618.874;239.771;Thalbrücke
619.303;240.255;Balsthal
621.496;265.346;Kaiseraugst
626.612;266.781;Rheinfelden
629.745;267.979;Möhlin
635.456;266.428;Mumpf
641.502;264.846;Eiken
643.277;262.002;Frick
658.053;259.183;Brugg AG
624.798;266.179;Rheinfelden Augarten
638.412;265.777;Stein-Säckingen
646.862;267.858;Laufenburg
659.291;272.481;Koblenz
632.491;243.509;Wangen bei Olten, Bahnhof
629.502;240.703;Gunzgen, Zentrum
630.563;242.049;Hägendorf, Bodenmatt
628.664;239.893;Härkingen, Pflug
630.740;241.448;Kappel SO, Kreuz
626.911;239.113;Neuendorf, Kirche
624.980;238.438;Niederbuchsiten, Sonne
631.663;243.336;Rickenbach SO, Dorf
633.541;249.162;Wisen SO, Kirche
607.859;227.593;Solothurn, Spital
603.666;229.182;Bellach, Breitenfeld
605.761;229.790;Langendorf, Ladendorf
604.718;231.035;Oberdorf SO, Endhalt
606.952;231.061;Rüttenen, Dorf
608.641;227.932;Zuchwil, Rainstrasse
612.086;224.853;Kriegstetten, Dorfplatz
611.785;223.591;Recherswil, Dorf
612.399;224.472;Halten, Käserei
614.992;222.919;Heinrichswil
615.849;223.154;Winistorf, Mösli
617.814;224.859;Burgäschi
618.836;223.400;Steinhof SO
614.883;223.961;Hersiwil, Dorf
609.130;228.258;Zuchwil, Kornfeld
610.151;227.865;Zuchwil, Mc Donald's
617.124;225.530;Aeschi SO, Dorf
617.063;227.014;Bolken, Dorf
615.117;226.008;Hüniken
619.171;225.972;Niederönz, Post
618.579;228.177;Röthenbach b. H., Post
611.165;227.107;Derendingen, Pestalozziplatz
607.891;229.876;St. Niklaus SO
613.878;225.743;Horriwil, Post
605.779;230.101;Langendorf, Chutz
607.230;228.580;Solothurn, Amthausplatz
616.071;222.416;Winistorf, Dorf
608.794;228.347;Zuchwil, Aarmatt
657.903;259.800;Brugg AG, Brücke
655.325;259.078;Bözberg, Haldensteinstrasse
658.867;262.220;Rüfenach AG, Hinterrein
651.317;254.707;Oberflachs, Kasteln
654.431;260.316;Bözberg, Kirchbözberg
659.908;261.596;Lauffohr, Dorf
652.244;268.001;Mettau, Linde
651.789;268.363;Mettau, Post
653.170;263.173;Mönthal, Unterdorf
657.181;259.619;Umiken, Mühlehalde
652.153;267.046;Oberhofen AG, Ausserdorf
656.541;262.995;Remigen, Zentrum
656.434;260.257;Riniken, Post
656.469;260.696;Riniken, Gemeindehaus
657.759;262.352;Rüfenach AG, Dorf
652.753;259.136;Bözberg, Neustalden
659.723;263.040;Stilli, Villigerstrasse
650.370;254.441;Thalheim AG, Post
654.308;262.484;Remigen, Abzw. Ueberthal
652.732;264.721;Gansingen, Oberbüren
654.233;259.380;Bözberg, Ursprung
653.738;254.394;Veltheim AG, Post
658.507;263.896;Villigen, Post
654.111;257.199;Schinznach Dorf, Wallbach
654.370;253.101;Veltheim AG, Wildenstein
655.917;257.733;Brugg AG, Aare AG
658.634;258.980;Windisch, Zentrum
659.440;259.425;Windisch, Löwen
659.190;259.242;Windisch, Reformierte Kirche
653.238;260.386;Bözberg, Egenwil
654.333;258.977;Bözberg, Vierlinden
652.228;254.708;Oberflachs, Mitteldorf
649.723;261.966;Elfingen, Sternen
643.270;261.941;Frick, Bahnhof
637.331;264.712;Obermumpf, Alte Post
646.684;263.244;Ittenthal, Dorfmitte
639.675;262.671;Schupfart, Dorf
649.009;267.352;Rheinsulz, Dorf
649.685;265.699;Sulz AG, Bütz
646.395;255.215;Asp AG, Abzw.
646.292;252.533;Küttigen, Abzw. Giebel
643.546;255.663;Oberhof, Rohr
646.900;261.267;Hornussen, Unterdorf
631.663;239.955;Boningen, Kreuzplatz
616.777;243.854;Ramiswil, Dorf
635.332;244.409;Olten, Postplatz
641.386;253.232;Salhöhe
594.982;245.710;Courroux, poste
598.359;244.234;Vicques, poste
584.706;246.856;Montavon, village
572.688;244.568;Ocourt
592.525;253.712;Roggenburg, Dorf
602.543;247.909;Bärschwil, Dorf
570.836;241.997;Epiquerez, village
578.105;244.479;Montenol, école
575.542;242.716;Epauvillers, poste
583.056;244.202;Boécourt, bureau communal
584.016;246.210;Séprais
571.412;259.685;Montignez
604.924;245.427;Montsevelier, poste
590.588;250.871;Movelier, poste
602.804;241.946;Vermes, poste
592.969;242.187;Châtillon JU, bas du village
596.334;245.633;Courcelon
589.238;245.263;Develier, poste
592.972;243.947;Rossemaison, école/poste
588.866;245.242;Develier, Sur Cré
609.077;255.081;Nenzlingen, Unterdorf
619.381;240.319;Balsthal, Bahnhof
592.820;235.910;Perrefitte, poste
574.717;258.199;Damphreux, Sous la Côte
603.930;258.412;Mariastein, Klosterplatz
594.843;236.509;Moutier, Hôtel de Ville
631.185;260.343;Buus, Tagungszentrum Waldegg
607.050;272.100;Basel EuroAirport
659.438;258.222;Windisch, Dägerli
610.225;233.225;Niederwil SO, Feuerwehrmagazin
621.734;237.751;Oensingen, Bauamt
604.727;253.911;Dittingen, Post
645.196;252.647;Küttigen, Benken-Klus
598.707;249.463;Liesberg, Riederwald
599.488;250.319;Liesberg, Dorfplatz
630.399;267.778;Möhlin, Post
613.348;258.864;Dornach, Kirche
612.981;259.832;Dornach-Arlesheim, Bahnhof
618.945;256.709;St. Pantaleon, Degenmatt
601.937;257.089;Metzerlen, Challstrasse
605.735;258.208;Hofstetten SO, Mariasteinstr.
611.051;232.287;Hubersdorf, Dietrich
610.038;234.595;Günsberg, Glutzenberg
569.716;232.294;Saignelégier, La Theurre
603.016;234.895;Gänsbrunnen, Wirtshof
630.161;122.278;Moosalp
606.754;261.784;Biel-Benken BL, Dorf
